Cluster,W,B,Structure_ID,Pathway_ID,N_images,TS_image,E_IS (eV),E_FS (eV),E_TS (eV),E_act_fwd (eV),E_act_rev (eV),Delta_E (eV),Transferred_H,Initial_NH3_W_anchor,Final_H_anchor,Final_anchor_element,Final_anchor_rank_initial_excluding_binding_W,Transferred_H_is_closest_H_to_final_anchor_initially,d_H_anchor_initial (A),d_H_anchor_final (A),d_bindingW_anchor_initial (A),Trajectory_file
W_17_B_17,17,17,5,2,10,3,-309.834000,-310.446348,-308.842635,0.991365,1.603712,-0.612348,H3,W8,B9,B,1,yes,3.568483,1.216886,2.243693,W_17_B_17_5_2_movie_contcar.xyz
W_17_B_17,17,17,5,3,10,3,-309.834000,-310.264516,-308.538256,1.295744,1.726260,-0.430516,H2,W8,B16,B,1,yes,3.115635,1.241307,2.336748,W_17_B_17_5_3_movie_contcar.xyz
W_17_B_17,17,17,6,0,10,3,-309.531000,-309.618903,-308.292305,1.238695,1.326598,-0.087903,H1,W9,B10,B,1,yes,3.508145,1.235500,2.252718,W_17_B_17_6_0_movie_contcar.xyz
W_17_B_17,17,17,6,1,10,3,-309.531000,-310.179244,-308.343717,1.187283,1.835527,-0.648244,H2,W9,B11,B,1,yes,3.268834,1.202061,2.273131,W_17_B_17_6_1_movie_contcar.xyz
W_17_B_17,17,17,6,2,10,4,-309.531000,-309.658724,-308.199183,1.331817,1.459541,-0.127724,H3,W9,B7,B,1,yes,3.819840,1.296374,2.366869,W_17_B_17_6_2_movie_contcar.xyz
W_17_B_17,17,17,7,0,10,4,-309.485000,-308.881348,-308.162664,1.322336,0.718684,0.603652,H1,W10,B8,B,3,yes,3.750525,1.295859,2.245847,W_17_B_17_7_0_movie_contcar.xyz
W_17_B_17,17,17,7,1,10,3,-309.485000,-308.947447,-307.357638,2.127362,1.589808,0.537553,H1,W10,B12,B,5,yes,3.942374,1.369249,2.290041,W_17_B_17_7_1_movie_contcar.xyz
W_17_B_17,17,17,7,2,10,4,-309.485000,-309.593738,-308.320457,1.164543,1.273281,-0.108738,H2,W10,B17,B,1,no,3.533687,1.213620,2.363336,W_17_B_17_7_2_movie_contcar.xyz
W_17_B_17,17,17,7,3,10,3,-309.485000,-309.238929,-307.218961,2.266039,2.019967,0.246071,H1,W10,B10,B,4,no,3.897685,1.307737,2.391431,W_17_B_17_7_3_movie_contcar.xyz
W_17_B_17,17,17,14,0,10,3,-309.684000,-309.974265,-308.669321,1.014679,1.304944,-0.290265,H3,W17,B8,B,1,yes,4.418179,1.227516,2.163924,W_17_B_17_14_0_movie_contcar.xyz
W_18_B_09,18,9,1,0,10,3,-266.305000,-266.677786,-265.902833,0.402167,0.774953,-0.372786,H3,W3,B4,B,3,no,4.452936,1.217884,2.215058,W_18_B_09_1_0_movie_contcar.xyz
W_18_B_09,18,9,1,1,10,3,-266.305000,-266.677786,-264.973119,1.331881,1.704667,-0.372786,H1,W3,B4,B,1,yes,4.240016,1.217884,2.215058,W_18_B_09_1_1_movie_contcar.xyz
W_18_B_09,18,9,2,0,10,3,-266.142000,-266.761438,-264.869875,1.272125,1.891563,-0.619438,H2,W4,B4,B,1,yes,3.825956,1.219720,2.217903,W_18_B_09_2_0_movie_contcar.xyz
W_18_B_09,18,9,2,1,10,3,-266.142000,-266.649222,-264.804598,1.337402,1.844625,-0.507222,H2,W4,B1,B,2,yes,4.050289,1.217022,2.289090,W_18_B_09_2_1_movie_contcar.xyz
W_18_B_09,18,9,4,0,10,3,-266.367000,-266.367000,-264.957546,1.409454,1.409454,0.000000,H1,W8,B5,B,1,yes,3.875039,1.416552,2.282281,W_18_B_09_4_0_movie_contcar.xyz
W_18_B_09,18,9,5,0,10,5,-266.280000,-266.609823,-265.068444,1.211556,1.541379,-0.329823,H1,W10,B2,B,2,no,3.696770,1.229633,2.201488,W_18_B_09_5_0_movie_contcar.xyz
W_18_B_09,18,9,7,0,10,3,-266.032000,-266.445352,-265.032967,0.999033,1.412385,-0.413352,H2,W12,B7,B,1,yes,3.565089,1.288733,2.237001,W_18_B_09_7_0_movie_contcar.xyz
W_18_B_09,18,9,8,0,10,4,-266.128000,-265.894055,-264.587002,1.540998,1.307053,0.233945,H3,W14,B9,B,1,yes,3.630810,1.215070,2.343121,W_18_B_09_8_0_movie_contcar.xyz
W_18_B_09,18,9,9,1,10,5,-266.101000,-266.072004,-264.920684,1.180316,1.151320,0.028996,H1,W15,B3,B,1,yes,3.315452,1.257996,2.295948,W_18_B_09_9_1_movie_contcar.xyz
W_18_B_09,18,9,10,0,10,3,-266.056000,-266.651953,-265.420752,0.635248,1.231200,-0.595953,H3,W16,B8,B,1,yes,3.398475,1.389450,2.263251,W_18_B_09_10_0_movie_contcar.xyz
W_18_B_09,18,9,10,1,10,3,-266.056000,-266.502732,-264.566369,1.489631,1.936363,-0.446732,H3,W16,B6,B,3,yes,3.984025,1.231941,2.272517,W_18_B_09_10_1_movie_contcar.xyz
W_18_B_09,18,9,15,0,10,3,-265.856000,-267.170510,-264.997329,0.858671,2.173181,-1.314510,H2,W7,W7,W,0,no,2.839667,1.878325,0.000000,W_18_B_09_15_0_movie_contcar.xyz
